# Engine name: 
# Thu Sep 4 20:43:00 2025
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.5500    209.0000      3.0000     10.0000      0.0000   1162.8245     15.7351      1.2730      1.1770   1219.6958    178.5856    203.4904      1.4359      1.6361      1.0000 
     0.5500    216.0000      3.0000     10.0000      0.0000   1165.0506     15.7471      1.2737      1.1771   1220.3508    179.4856    204.1989      1.4423      1.6409      1.0000 
     0.5500    223.0000      3.0000     10.0000      0.0000   1167.2144     15.7587      1.2743      1.1772   1220.9852    180.3512    204.8817      1.4485      1.6456      1.0000 
     0.5500    230.0000      3.0000     10.0000      0.0000   1169.3197     15.7701      1.2749      1.1773   1221.6003    181.1846    205.5405      1.4545      1.6500      1.0000 
     0.5500    237.0000      3.0000     10.0000      0.0000   1171.3695     15.7811      1.2754      1.1774   1222.1972    181.9882    206.1769      1.4602      1.6543      1.0000 
     0.5500    244.0000      3.0000     10.0000      0.0000   1173.3670     15.7919      1.2760      1.1775   1222.7769    182.7637    206.7923      1.4658      1.6585      1.0000 
     0.5500    251.0000      3.0000     10.0000      0.0000   1175.3149     15.8024      1.2765      1.1776   1223.3404    183.5131    207.3879      1.4711      1.6625      1.0000 
     0.5500    258.0000      3.0000     10.0000      0.0000   1177.2157     15.8127      1.2771      1.1777   1223.8887    184.2378    207.9648      1.4762      1.6664      1.0000 
     0.5500    265.0000      3.0000     10.0000      0.0000   1179.0718     15.8228      1.2776      1.1777   1224.4224    184.9394    208.5242      1.4812      1.6701      1.0000 
     0.5500    272.0000      3.0000     10.0000      0.0000   1180.8854     15.8326      1.2781      1.1778   1224.9424    185.6191    209.0671      1.4860      1.6738      1.0000 
     0.5500    279.0000      3.0000     10.0000      0.0000   1182.6585     15.8423      1.2785      1.1779   1225.4493    186.2783    209.5942      1.4907      1.6773      1.0000 
     0.5500    286.0000      3.0000     10.0000      0.0000   1184.3929     15.8517      1.2790      1.1780   1225.9437    186.9180    210.1065      1.4952      1.6807      1.0000 
     0.5500    293.0000      3.0000     10.0000      0.0000   1186.0904     15.8609      1.2794      1.1781   1226.4263    187.5394    210.6048      1.4996      1.6840      1.0000 
     0.5500    300.0000      3.0000     10.0000      0.0000   1187.7526     15.8700      1.2799      1.1782   1226.8977    188.1433    211.0896      1.5038      1.6872      1.0000 
     0.5500    307.0000      3.0000     10.0000      0.0000   1189.3811     15.8789      1.2803      1.1783   1227.3582    188.7306    211.5618      1.5080      1.6904      1.0000 
     0.5500    314.0000      3.0000     10.0000      0.0000   1190.9772     15.8876      1.2807      1.1783   1227.8085    189.3022    212.0219      1.5120      1.6934      1.0000 
     0.5500    321.0000      3.0000     10.0000      0.0000   1192.5424     15.8962      1.2811      1.1784   1228.2489    189.8589    212.4704      1.5159      1.6964      1.0000 
     0.5500    328.0000      3.0000     10.0000      0.0000   1194.0777     15.9046      1.2815      1.1785   1228.6799    190.4014    212.9079      1.5197      1.6993      1.0000 
     0.5500    335.0000      3.0000     10.0000      0.0000   1195.5845     15.9128      1.2819      1.1786   1229.1019    190.9303    213.3350      1.5234      1.7021      1.0000 
     0.5500    342.0000      3.0000     10.0000      0.0000   1197.0639     15.9209      1.2823      1.1786   1229.5152    191.4462    213.7520      1.5270      1.7049      1.0000 
     0.5500    349.0000      3.0000     10.0000      0.0000   1198.5167     15.9289      1.2827      1.1787   1229.9202    191.9497    214.1594      1.5305      1.7076      1.0000 
     0.5500    356.0000      3.0000     10.0000      0.0000   1199.9442     15.9368      1.2830      1.1788   1230.3172    192.4415    214.5576      1.5339      1.7102      1.0000 
     0.5500    363.0000      3.0000     10.0000      0.0000   1201.3471     15.9445      1.2834      1.1789   1230.7065    192.9219    214.9470      1.5373      1.7128      1.0000 
     0.5500    370.0000      3.0000     10.0000      0.0000   1202.7263     15.9521      1.2837      1.1789   1231.0884    193.3914    215.3279      1.5405      1.7153      1.0000 
     0.5500    377.0000      3.0000     10.0000      0.0000   1204.0827     15.9596      1.2841      1.1790   1231.4632    193.8506    215.7007      1.5437      1.7177      1.0000 
     0.5500    384.0000      3.0000     10.0000      0.0000   1205.4171     15.9669      1.2844      1.1791   1231.8311    194.2998    216.0658      1.5468      1.7201      1.0000 
     0.5500    391.0000      3.0000     10.0000      0.0000   1206.7302     15.9742      1.2847      1.1791   1232.1925    194.7395    216.4233      1.5499      1.7224      1.0000 
     0.5500    398.0000      3.0000     10.0000      0.0000   1208.0227     15.9813      1.2850      1.1792   1232.5474    195.1699    216.7736      1.5529      1.7247      1.0000 
     0.5500    405.0000      3.0000     10.0000      0.0000   1209.2953     15.9884      1.2853      1.1793   1232.8962    195.5915    217.1170      1.5558      1.7270      1.0000 
     0.5500    412.0000      3.0000     10.0000      0.0000   1210.5486     15.9953      1.2856      1.1793   1233.2390    196.0045    217.4537      1.5586      1.7292      1.0000 
     0.5500    419.0000      3.0000     10.0000      0.0000   1211.7832     16.0022      1.2859      1.1794   1233.5761    196.4094    217.7840      1.5614      1.7313      1.0000 
     0.5500    426.0000      3.0000     10.0000      0.0000   1212.9998     16.0089      1.2862      1.1795   1233.9076    196.8064    218.1080      1.5641      1.7334      1.0000 
     0.5500    433.0000      3.0000     10.0000      0.0000   1214.1988     16.0156      1.2865      1.1795   1234.2212    197.1958    218.4261      1.5668      1.7355      1.0000 
     0.5500    440.0000      3.0000     10.0000      0.0000   1215.3808     16.0221      1.2868      1.1796   1234.5419    197.5778    218.7383      1.5695      1.7376      1.0000 
     0.5500    447.0000      3.0000     10.0000      0.0000   1216.5462     16.0286      1.2871      1.1796   1234.8575    197.9527    219.0450      1.5720      1.7396      1.0000 
     0.5500    454.0000      3.0000     10.0000      0.0000   1217.6957     16.0350      1.2873      1.1797   1235.1682    198.3208    219.3462      1.5746      1.7415      1.0000 
     0.5500    461.0000      3.0000     10.0000      0.0000   1218.8296     16.0413      1.2876      1.1798   1235.4742    198.6822    219.6422      1.5771      1.7434      1.0000 
     0.5500    468.0000      3.0000     10.0000      0.0000   1219.9483     16.0476      1.2878      1.1798   1235.7756    199.0373    219.9331      1.5795      1.7453      1.0000 
     0.5500    475.0000      3.0000     10.0000      0.0000   1221.0524     16.0537      1.2881      1.1799   1236.0725    199.3862    220.2192      1.5819      1.7472      1.0000 
     0.5500    482.0000      3.0000     10.0000      0.0000   1222.1421     16.0598      1.2883      1.1799   1236.3651    199.7290    220.5005      1.5842      1.7490      1.0000 
     0.5500    489.0000      3.0000     10.0000      0.0000   1223.2179     16.0658      1.2886      1.1800   1236.6535    200.0661    220.7771      1.5865      1.7508      1.0000 
     0.5500    496.0000      3.0000     10.0000      0.0000   1224.2802     16.0718      1.2888      1.1800   1236.9377    200.3976    221.0493      1.5888      1.7525      1.0000 
     0.5500    503.0000      3.0000     10.0000      0.0000   1225.3293     16.0777      1.2891      1.1801   1237.2180    200.7236    221.3172      1.5910      1.7542      1.0000 
     0.5500    510.0000      3.0000     10.0000      0.0000   1226.3655     16.0835      1.2893      1.1801   1237.4944    201.0443    221.5809      1.5932      1.7559      1.0000 
     0.5500    517.0000      3.0000     10.0000      0.0000   1227.3892     16.0892      1.2895      1.1802   1237.7671    201.3599    221.8404      1.5953      1.7576      1.0000 
     0.5500    524.0000      3.0000     10.0000      0.0000   1228.4006     16.0949      1.2898      1.1803   1238.0360    201.6705    222.0960      1.5975      1.7593      1.0000 
     0.5500    531.0000      3.0000     10.0000      0.0000   1229.4002     16.1005      1.2900      1.1803   1238.3014    201.9763    222.3478      1.5995      1.7609      1.0000 
     0.5500    538.0000      3.0000     10.0000      0.0000   1230.3882     16.1060      1.2902      1.1804   1238.5634    202.2774    222.5958      1.6016      1.7625      1.0000 
     0.6000     90.0000      3.0000     10.0000      0.0000   1174.0746     15.3263      1.2458      1.2157   1231.5511    156.5186    187.6806      1.2463      1.4945      1.0000 
     0.6000     97.0000      3.0000     10.0000      0.0000   1177.3037     15.3425      1.2461      1.2141   1232.9455    158.9901    189.4873      1.2646      1.5072      1.0000 
     0.6000    104.0000      3.0000     10.0000      0.0000   1180.4119     15.3581      1.2464      1.2127   1234.2486    161.2485    191.1537      1.2812      1.5188      1.0000 
     0.6000    111.0000      3.0000     10.0000      0.0000   1183.4063     15.3732      1.2469      1.2115   1235.4718    163.3256    192.6988      1.2964      1.5296      1.0000 
     0.6000    118.0000      3.0000     10.0000      0.0000   1186.2938     15.3877      1.2474      1.2104   1236.6245    165.2466    194.1381      1.3104      1.5395      1.0000 
     0.6000    125.0000      3.0000     10.0000      0.0000   1189.0809     15.4018      1.2479      1.2094   1237.7143    167.0321    195.4843      1.3234      1.5489      1.0000 
     0.6000    132.0000      3.0000     10.0000      0.0000   1191.7740     15.4154      1.2485      1.2085   1238.7479    168.6988    196.7482      1.3355      1.5576      1.0000 
     0.6000    139.0000      3.0000     10.0000      0.0000   1194.3788     15.4286      1.2491      1.2077   1239.7309    170.2606    197.9386      1.3468      1.5658      1.0000 
     0.6000    146.0000      3.0000     10.0000      0.0000   1196.9007     15.4414      1.2497      1.2070   1240.6680    171.7292    199.0631      1.3574      1.5735      1.0000 
     0.6000    153.0000      3.0000     10.0000      0.0000   1199.3447     15.4538      1.2503      1.2063   1241.5634    173.1144    200.1283      1.3674      1.5807      1.0000 
     0.6000    160.0000      3.0000     10.0000      0.0000   1201.7155     15.4658      1.2509      1.2057   1242.4206    174.4246    201.1398      1.3768      1.5876      1.0000 
     0.6000    167.0000      3.0000     10.0000      0.0000   1204.0173     15.4776      1.2515      1.2052   1243.2429    175.6670    202.1024      1.3857      1.5942      1.0000 
     0.6000    174.0000      3.0000     10.0000      0.0000   1206.2540     15.4890      1.2521      1.2047   1244.0329    176.8480    203.0205      1.3941      1.6004      1.0000 
     0.6000    181.0000      3.0000     10.0000      0.0000   1208.4293     15.5001      1.2527      1.2042   1244.7931    177.9729    203.8976      1.4021      1.6063      1.0000 
